shine_coverage,shine_intensity,body_color_b,body_L,lbp_texture_score,canny_edge_density,mean_saturation,hue_mean,redness_purity,brown_dominance,quality
0.004,242.51,-0.581,44.81,370,0.075,46.28,177.28,150.55,0.004,1
0.007,240.66,-3.602,40,1270,0.082,40.92,179.25,149.62,0.01,1
0.01,247.58,2.649,46.38,456,0.096,38.34,0.08,136.21,0.007,1
0.007,235.93,2.061,45.1,370,0.1,62.8,177.59,150.59,0,1
0.004,239.72,2.325,41.86,451,0.108,74.39,177.39,165.73,0.003,1
0.025,234.58,4.505,48.25,1447,0.087,41.25,179.48,150.05,0.001,1
0.015,240.8,2.638,49.29,1265,0.101,47.55,1.07,143.49,0.071,1
0.02,234.8,10.739,51.68,336,0.066,46.83,177.98,120.97,0.001,1
0.017,232.45,8.337,41.81,131,0.104,21.73,177.26,135.3,0.005,1
0.018,227.52,2.988,44.16,328,0.096,42.07,1.55,147.61,0.08,1
0.019,231.24,7.246,41.53,385,0.1,33.56,178.82,126.28,0.005,1
0.009,242.66,-3.969,53.98,1041,0.066,45.34,178.37,147.67,0.001,1
0.007,238.86,-3.639,51.76,436,0.08,44.82,176.3,167.3,0,1
0.016,234.24,-0.518,41.72,539,0.054,19.18,179.61,149.56,0.018,1
0.008,237.05,-1.714,36.63,919,0.091,45.37,179.1,140.25,0.002,1
0.003,235.44,11.828,43.58,521,0.124,63.51,177.28,150.34,0.008,1
0.009,220.14,5.635,48.48,140,0.08,46.59,1.79,140.92,0.071,1
0.005,241.64,4.072,31.15,341,0.116,54.26,179.84,160.85,0.016,1
0.007,241.48,9.053,35.46,324,0.079,45.66,179.96,158.99,0.001,1
0.02,237.47,-4.183,55.77,769,0.06,37.86,0.16,141.89,0.006,1
0.012,236.45,-1.685,40.94,1047,0.095,39.62,179.72,138.66,0.003,1
0.015,248.32,-8.099,44.76,1018,0.081,55.28,177.75,161.94,0.001,1
0.011,244.31,0.444,41.47,985,0.089,32.69,178.15,158.77,0.002,1
0.012,240.7,9.811,54.35,170,0.087,42.51,176.36,152.53,0.011,1
0.021,242.27,9.037,51.15,1119,0.113,43.99,176.55,149.23,0.007,1
0.025,239.15,11.541,56.34,220,0.086,51.44,177.68,146.12,0.007,1
0.02,241.09,10.517,59.2,187,0.079,42,177.17,155.8,0.008,1
0.023,243.63,13.739,54.45,495,0.113,23.19,177.59,146.34,0,1
0.012,234.95,-5.565,59.06,1020,0.084,48.98,177.47,181.95,0,1
0.01,238.69,5.439,45.15,404,0.122,43.38,177.48,144.77,0.001,1
0.01,238.62,-3.924,34.55,1128,0.083,47.14,179.27,149.48,0.001,1
0.009,240.13,-0.826,40.84,1570,0.073,52.22,178.89,164.07,0,1
0.013,233.89,2.608,26.95,516,0.067,58.4,177.15,160.31,0.009,1
0.018,235.44,0.444,31.28,388,0.085,66.55,179.94,157.66,0.001,1
0.027,229.45,1.374,32.6,1492,0.08,42.93,177.04,156.39,0,1
0.021,244.78,5.363,47.8,1187,0.092,36.52,0.58,140.1,0.051,1
0.013,240.95,3.754,40.56,1484,0.091,28.84,1.89,139.38,0.075,1
0.006,229.6,-15.825,31.64,183,0.122,84.84,2.23,174.35,0.106,1
0.005,245.66,-16.581,31.52,713,0.152,87.49,177.92,138.91,0.048,1
0.007,246.51,-27.303,25.75,1305,0.098,119.2,2.15,176.37,0.089,1
0.007,245.73,-11.09,33.61,438,0.118,64.15,3.78,154.67,0.141,1
0.004,246.34,-16.549,28.59,337,0.087,85.08,179.49,138.67,0.075,1
0.004,244.88,-16.783,27,77,0.094,91,178.13,133.27,0.068,1
0.004,229.15,-18.008,25.14,411,0.087,104.72,0.38,149.42,0.043,1
0.002,247.67,-25.758,23.3,177,0.114,116.75,0.72,124.87,0.068,1
0.018,244.31,3.314,32.07,1337,0.105,25.53,4.33,210.47,0.054,1
0.017,238.63,3.468,29.44,1153,0.137,38.75,2.34,202.95,0.08,1
0.016,244.61,4.239,38.93,1142,0.129,31.04,2.47,153.42,0.043,1
0.021,243.36,3.916,37.82,418,0.136,32.16,5.98,147.83,0.175,1
0.017,241.56,3.481,32.23,564,0.134,50.43,3.08,165.83,0.14,1
0.008,240.22,4.237,37.23,152,0.113,63.21,175.43,125.27,0,1
0.007,243.41,2.657,38.76,965,0.135,27.15,3.45,128.62,0.07,1
0.008,240.38,2.691,40.53,280,0.099,39.2,179.44,151.95,0.001,1
0.01,243.11,2.218,45.12,1155,0.09,33.61,5.88,197.35,0.053,1
0.012,243.64,3.505,43.81,1289,0.106,28.07,179.11,159.31,0,1
0.012,235.82,-3.659,36.38,420,0.108,8.86,6.29,161.43,0.208,1
0.008,230.33,-0.807,38.93,552,0.113,29.58,3.71,161.98,0.123,1
0.009,232.14,-1.248,39.41,818,0.066,26.62,6,191.15,0.056,1
0.009,233.74,-3.53,33.46,332,0.08,38.53,4.79,150.9,0.145,1
0.007,229.35,-2.04,34.4,32,0.129,36.96,3.22,137.1,0.071,1
0.012,239,-0.417,42.93,1172,0.111,29.46,1.6,148.58,0.027,1
0.013,233.38,-0.763,41.7,742,0.105,34.9,6.38,166.68,0.111,1
0.012,233.03,-3.772,40.64,124,0.135,18.5,7.58,165.02,0.27,1
0.005,230.76,-1.541,36.47,94,0.069,39.63,6.73,180.28,0.042,1
0.016,235.69,-0.999,41.49,1071,0.11,44.02,2.53,163.59,0.037,1
0.012,245.89,-3.801,48.43,493,0.085,43.06,2.06,165.02,0.054,1
0.015,234.98,-1.677,52.04,575,0.069,55.96,2.11,185.59,0.018,1
0.01,243.06,-3,52.05,1160,0.072,48.27,1.28,147.76,0.023,1
0.009,239.45,-1.864,50.03,1218,0.088,50.01,1.45,163.64,0.01,1
0.007,243.91,-4.128,41.68,747,0.09,44.36,1.23,151.24,0.002,1
0.014,240.14,-3.308,47.59,840,0.096,55.68,1.86,140.35,0.005,1
0.008,242.96,-2.789,44.79,1276,0.116,50.71,2.31,159.3,0.003,1
0.01,242.68,-1.626,51.39,1068,0.084,55.48,1.51,160.96,0.046,1
0.017,239.06,-3.586,45.91,1282,0.063,58.91,0,164.01,0.047,1
0.008,243.5,-2.694,52.71,1558,0.084,39.27,0.83,162.42,0.021,1
0.011,243.12,-2.107,46.85,950,0.101,45.98,2.85,147.84,0.087,1
0.01,243.5,-2.055,51.45,1217,0.069,45.44,0.53,153.11,0.013,1
0.007,246.51,-2.985,54.14,822,0.091,43.79,1.86,158.78,0.056,1
0.01,241.08,-2.51,55.85,1488,0.091,38.02,1.87,160.94,0.076,1
0.022,228.77,-2.377,46.39,46,0.116,56.88,3.4,164.31,0.168,1
0.014,242.84,2.142,47.81,378,0.098,11.71,1.59,149.99,0.028,1
0.02,232.03,-0.297,53.34,270,0.095,40.26,1.79,161.56,0.142,1
0.014,240.92,-0.986,57.14,502,0.111,45.12,1.34,161.9,0.004,1
0.021,228.58,-0.18,55.34,319,0.071,54.03,0.8,153.41,0.004,1
0.012,244.8,-2.859,56.85,530,0.094,44.31,2.1,141.28,0.044,1
0.015,238.53,-2.348,50.53,1368,0.089,41.52,0.55,149.62,0.003,1
0.017,247.5,-2.39,56.35,1282,0.086,25.74,1.55,159.93,0.062,1
0.011,245.92,0.546,54.06,481,0.1,56.95,1.52,155.11,0.059,1
0.031,231.62,-1.492,49.31,402,0.055,59.74,2.24,153.28,0.071,1
0.015,238.66,-2.522,55.21,1017,0.053,46.39,1.89,161.86,0.116,1
0.017,238.54,-9.761,54.91,670,0.113,79.65,7.34,167.47,0.316,2
0.08,233.07,1.684,67.1,244,0.074,50.77,1.1,154.9,0.037,2
0.028,225.73,0.205,65.41,1148,0.082,13.9,9.35,167.35,0.588,2
0.023,222.9,-1.736,65.22,369,0.072,19.06,9.18,168.85,0.522,2
0.033,226.12,-2.283,67.13,1114,0.069,21.33,6.82,187.92,0.298,2
0.018,218.63,-0.137,64.64,238,0.071,17.57,7.61,154.26,0.16,2
0.038,227.21,-2.604,68.73,215,0.09,19.94,5.71,158.47,0.071,2
0.069,234.08,-2.246,68.18,694,0.086,20.61,7.27,163.7,0.215,2
0.09,232.94,1.533,57.13,1433,0.087,33.91,6.31,110.28,0.248,2
0.033,242.51,-1.992,60.66,327,0.085,28.99,10.24,191.64,0.465,2
0.039,228.3,-0.433,67.83,518,0.067,39.66,179.86,146.28,0,2
0.023,229.72,3.247,65.83,566,0.05,41.4,178.46,151.05,0.006,2
0.015,237.63,-0.095,65.94,413,0.062,44.43,1.95,140.76,0.017,2
0.032,234.54,-0.126,60.59,187,0.076,37.75,179.09,135.17,0,2
0.011,227.91,9.566,68.1,303,0.105,40.99,178.44,140.88,0,2
0.045,232.22,10.622,77.04,213,0.097,51.56,177.2,125.04,0,2
0.018,226.95,4.294,75.02,508,0.069,30.37,179.38,145.31,0,2
0.033,225.93,4.996,70.38,443,0.056,38.38,177.37,132.94,0,2
0.059,231.41,4.862,73.03,282,0.08,38.03,2.3,129.91,0.097,2
0.024,228.14,-4.186,57.21,387,0.06,44.41,2.05,151.88,0.037,2
0.019,231.6,1.171,62.67,375,0.067,42.02,1.92,170.6,0.079,2
0.012,219.71,3.259,56.28,367,0.039,47.98,179.99,171.31,0,2
0.109,236.2,-0.449,67.49,550,0.154,27.78,8.89,119.88,0.48,2
0.129,236.2,-3.706,69.26,1091,0.118,15.62,11.04,113.37,0.833,2
0.098,239.5,-0.31,62.42,243,0.087,32.19,7.42,153.54,0.244,2
0.095,239.89,-1.356,64.23,1292,0.058,15.63,9.99,150.72,0.475,2
0.104,243.87,-1.24,60.7,1394,0.095,27.23,12.72,124.86,0.804,2
0.134,241.79,-1.212,60.22,1418,0.081,28.98,12.7,122.45,0.828,2
0.081,241.28,-1.785,57.46,58,0.092,35.04,11.91,121.71,0.725,2
0.127,238.94,-2.139,61.84,1350,0.053,40.06,10.94,148.21,0.748,2
0.014,225.58,-0.696,53.72,264,0.074,24.3,5.05,145.67,0.035,2
0.05,235.85,-3.543,56.72,809,0.118,25.89,14.09,53.22,0.981,2
0.043,235.88,-2.503,56.92,1391,0.117,17.88,9.12,107.8,0.571,2
0.037,237.25,-3.086,52.22,292,0.051,37.46,6.49,156.51,0.13,2
0.095,233.94,-2.057,55.62,90,0.076,9,3.35,129.22,0.171,2
0.061,231.98,-3.766,55.75,1130,0.082,21.25,8.54,153.38,0.282,2
0.008,226.5,-7.918,58.6,1425,0.09,23.08,10.34,185.25,0.308,2
0.018,229.29,-5.311,58.65,328,0.123,34,8.98,169.01,0.34,2
0.008,234.16,-7.614,60.51,358,0.086,41.68,8.77,200.17,0.257,2
0.011,239.69,-6.562,58.05,1037,0.076,25.11,13.18,21.79,0.99,2
0.038,232.16,-3.635,66.59,284,0.096,31.28,3.67,155,0.151,2
0.027,222.18,4.247,43.28,1197,0.048,43.96,11.4,85.95,0.777,2
0.036,234.56,11.28,64.59,660,0.066,53.3,8.42,62.99,0.214,2
0.032,226.78,5.504,65.81,342,0.083,22.56,3.3,133.68,0.022,2
0.051,234.04,0.206,65.14,1461,0.073,51.3,10.03,136.45,0.383,2
0.035,229.35,2.455,64.45,508,0.083,23.5,7.44,152.83,0.189,2
0.069,234.35,3.972,61.19,203,0.126,28.19,8.09,154.62,0.3,2
0.004,240.04,-15.113,42.07,1457,0.103,82.1,178.63,117.88,0.013,2
0.015,220.09,-2.47,53.2,1354,0.102,41.33,176.68,149.57,0.078,2
0.013,221.69,0.821,56.69,420,0.083,30.87,173.14,124.93,0.002,2
0.01,216.31,0.93,50.98,1137,0.094,40.31,174.87,143.79,0,2
0.014,217.45,-2.772,52.55,1201,0.068,32.81,178.89,123.2,0.006,2
0.042,228.08,0.244,59.19,1162,0.073,48.74,176.59,132.06,0,2
0.024,222.35,-2.924,52.86,1383,0.123,34.14,179.39,115,0,2
0.008,238.86,-3.703,42.61,1046,0.073,43.24,177.81,126.36,0.001,2
0.008,232.25,-3.905,43.1,535,0.05,40.62,176.13,142.47,0,2
0.01,238.84,-2.88,44.61,549,0.064,49.16,179.32,142.6,0.005,2
0.015,240.56,1.103,43.45,694,0.045,34.98,176.8,140.43,0.001,2
0.01,233.45,2.274,33.67,777,0.12,48.29,1.73,140.23,0.002,2
0.004,220.89,5.253,54.68,1056,0.091,41.38,178.15,121.19,0.003,2
0.01,243.23,2.694,46.52,782,0.07,49.25,177.73,137.25,0.024,2
0.012,230.77,0.911,49.04,1463,0.088,34.78,0.27,135.94,0.027,2
0.011,243.07,2.505,44.47,753,0.069,64.51,178.77,149.88,0.017,2
0.011,231.86,12.602,41.45,677,0.062,56.45,1.64,141.42,0.09,2
0.011,242.24,-5.066,46.41,749,0.057,40.27,177.85,146.4,0.001,2
0.014,229.95,8.828,43.45,1396,0.088,43.61,179.08,135.2,0.009,2
0.008,236.28,7.245,35.86,1452,0.081,45.63,177.46,146.2,0,2
0.017,245.7,14.246,37.72,1099,0.067,76.19,176.13,152.22,0.003,2
0.019,240.56,5.691,43.01,1182,0.118,38.31,4.08,136.25,0.236,2
0.002,238.97,-13.221,21.59,1382,0.135,82.49,2.46,158.75,0.178,2
0.005,232.42,-23.71,25.42,151,0.081,158.61,0.51,137.46,0.084,2
0.001,230.13,-22.105,25.92,138,0.073,121.1,178.91,126.87,0.078,2
0.018,243.6,2.03,33.07,1120,0.145,33.13,6.8,146.17,0.344,2
0.006,240.16,3.795,43.64,1285,0.073,23.23,174.02,139.93,0,2
0.013,239.06,2.89,39.18,1428,0.075,30.72,2.39,149.9,0.184,2
0.012,239.94,2.794,37.53,1224,0.069,39.38,1.09,120.48,0.03,2
0.007,242.46,3.035,40.17,887,0.103,35.03,5.22,166.12,0.203,2
0.018,236.17,-1.505,36.93,1253,0.1,27.45,1.49,108.51,0.119,2
0.005,234.87,-0.446,35.68,522,0.072,27.04,5.61,132.05,0.101,2
0.012,230.39,-1.756,38.66,674,0.108,26.17,6.41,157.18,0.042,2
0.007,229.24,-0.68,41.55,184,0.077,24.53,7.69,157.14,0.254,2
0.011,232.17,1.259,45.87,1066,0.085,46.37,5.28,161.25,0.042,2
0.01,228.71,-0.949,37.45,1202,0.117,25.92,5.94,136.82,0.326,2
0.01,229.07,1.021,48.68,1245,0.095,46.36,9.3,147.52,0.473,2
0.011,230.29,-5.564,35.65,1281,0.108,30.88,6.12,136.43,0.075,2
0.008,235.31,-0.748,34.07,1521,0.089,25.73,4.34,147.8,0.166,2
0.007,234.59,-0.865,39.46,1150,0.096,31.11,6.14,152.55,0.063,2
0.005,230.26,-2.961,34.84,667,0.087,41.63,5.46,152.94,0.214,2
0.008,232.32,0.848,42.66,777,0.065,34.4,5.38,154.9,0.097,2
0.011,238.14,-0.975,36.18,949,0.109,26.82,4.52,147.62,0.171,2
0.008,232.7,-0.569,36.55,792,0.081,35.18,7.01,169.51,0.037,2
0.009,232.35,-0.565,32.75,1439,0.095,24.7,6.37,158.54,0.064,2
0.006,235.93,-0.483,35.82,800,0.078,32.21,6.97,153.4,0.221,2
0.007,232.9,-0.039,43.35,756,0.115,18.06,6.73,158.67,0.226,2
0.009,237.83,-2.985,32.43,1149,0.069,27.15,5.37,141.97,0.045,2
0.011,231.22,-3.409,29.55,1071,0.072,41.27,4.89,118.92,0.106,2
0.007,233.55,-2.089,35.86,905,0.059,19.87,9.21,171.56,0.376,2
0.008,228.74,0.709,42.75,910,0.079,33.52,6.19,167.35,0.083,2
0.007,240.41,-0.552,46.05,614,0.066,54.37,2.31,163.71,0.068,2
0.017,221.22,-2.984,52.26,1295,0.066,46.45,3.03,146.73,0.003,2
0.016,240.74,-2.07,53.26,960,0.079,48.34,1.61,146.97,0.04,2
0.014,239.14,-0.543,53.95,384,0.068,58.03,3.74,164.33,0.149,2
