spec,loc,num,species,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,quality
TILA,CFM,40,2,178.15,158.77,97.67,0.0015,0.1475,0.1439,0.001,0.7751,0.011,244.31,0.4439,0
TILA,PWM,55,2,1.34,161.9,142.35,0.0035,0.1932,0.0652,0.0031,0.9036,0.0143,240.92,-0.986,0
BANG,BWM,18,0,179.03,169.78,81.32,0.0017,0.1943,0.0056,0,0.7903,0.0802,236,0.6071,0
BANG,CFM,4,0,178.42,142.12,68.77,0.0001,0.2168,0.0906,0.0001,0.6638,0.1545,240.16,-0.2233,0
BANG,CFM,50,0,178.73,190.5,65.67,0,0.1136,-0.024,0,0.8378,0.0501,232.86,-1.1793,0
BANG,NFP,17,0,179.31,139.7,92.43,0.0005,0.1842,0.0778,0.0001,0.701,0.1574,235.23,-0.443,0
BANG,PWM,56,0,0.24,170.97,77.04,0.0076,0.1946,-0.0605,0,0.7681,0.0473,221.25,-4.1499,0
CARP,NFP,20,1,1.78,169.35,94.56,0.023,0.2326,0.1444,0,0.8167,0.03,242.77,-0.2763,0
TILA,NFP,9,2,0.27,170.04,120.88,0.0199,0.2339,0.2667,0.0005,1.0398,0.0117,243,-17.0091,0
TILA,NFP,17,2,2.34,202.95,110.15,0.0803,0.2757,0.1279,0.0018,0.8076,0.0174,238.63,3.4682,0
TILA,NFP,28,2,5.88,197.35,64.3,0.0534,0.1784,0.0479,0.0011,0.8127,0.0097,243.11,2.2178,0
TILA,PWM,39,2,1.23,151.24,173.31,0.0023,0.153,0.0529,0.0001,1.0175,0.0075,243.91,-4.1285,0
TILA,PWM,45,2,0.83,162.42,119.25,0.0212,0.2168,0.0499,0.0016,1.0115,0.0078,243.5,-2.6939,0
TILA,PWM,65,2,1.89,161.86,119.52,0.1159,0.2528,-0.0566,0,0.9819,0.0155,238.66,-2.5218,0
BANG,BWM,12,0,178.81,171.5,102.8,0.0014,0.2663,-0.0132,0,0.8258,0.0635,233.91,-3.8033,0
BANG,CFM,8,0,2.01,170.75,101.9,0.0088,0.1713,0.0402,0.0001,0.8786,0.0805,236.09,-6.5654,0
BANG,CFM,48,0,179.42,181.53,50,0,0.1128,-0.0013,0,0.8388,0.0199,238.75,0.0662,0
BANG,NFP,31,0,0.58,149.74,99.37,0.0103,0.1859,0.0554,0,0.6473,0.097,235.96,0.0925,0
BANG,PWM,13,0,3.37,155.73,85.26,0.0585,0.1801,-0.0034,0,0.8168,0.1335,241.81,-0.5026,0
BANG,PWM,38,0,7,193.81,104.98,0.0719,0.1794,-0.0684,0,0.8417,0.0813,238.34,-4.2724,0
CARP,NFP,18,1,1.46,150.96,141.26,0.0418,0.289,0.0554,0,0.8636,0.0698,231.78,-3.5589,0
CARP,NFP,36,1,1.01,166.38,96.56,0.0057,0.2174,0.0398,0,0.8484,0.0145,239.45,0.8762,0
TILA,BWM,27,2,179.68,152.2,115.62,0,0.1606,0.158,0.003,1.032,0.0334,225.21,-0.7127,0
TILA,CFM,35,2,179.96,158.99,65.61,0.0006,0.1545,0.0034,0,1.174,0.007,241.48,9.053,0
TILA,CFM,49,2,178.11,171.18,85.11,0.0037,0.1341,0.1088,0.0041,1.0277,0.0095,244.09,-4.269,0
TILA,NFP,18,2,2.47,153.42,119.71,0.0427,0.2469,0.0144,0.001,0.9216,0.0157,244.61,4.2393,0
TILA,PWM,35,2,2.06,165.02,154.76,0.054,0.2089,0.0952,0.0013,1.0346,0.0124,245.89,-3.8009,0
TILA,PWM,51,2,3.4,164.31,128.16,0.1678,0.2784,0.0079,0.0001,0.7291,0.0225,228.77,-2.3765,0
TILA,PWM,52,2,1.59,149.99,159.54,0.0282,0.1841,0.0111,0,1.1098,0.014,242.84,2.1423,0
BANG,CFM,47,0,179.45,166.4,52.62,0.0002,0.1026,-0.0366,0,0.8348,0.0472,236.94,2.0978,0
BANG,NFP,8,0,2.83,182.52,68.03,0.162,0.2604,0.0865,0.0002,0.57,0.1512,235.09,2.7251,0
BANG,NFP,30,0,1.73,143.75,98.32,0.0882,0.2452,0.0269,0,0.5516,0.0907,238.73,-0.476,0
BANG,PWM,1,0,3.54,136.39,88.94,0.1248,0.2761,-0.1053,0,0.891,0.1797,240.15,-4.2311,0
BANG,PWM,17,0,6.25,154.09,67.57,0.0305,0.2161,-0.0441,0,0.6973,0.0921,241.11,-2.2527,0
BANG,PWM,42,0,4.41,166.87,90.66,0.0214,0.212,-0.0059,0,0.7734,0.0288,245.37,-5.4394,0
BANG,PWM,45,0,4.48,180.72,80.44,0.0543,0.1855,-0.0758,0,0.8444,0.0282,236.45,-6.2455,0
CARP,NFP,27,1,0.08,142.82,114.91,0.0007,0.2782,0.121,0.0018,0.7299,0.0655,234.7,2.7645,0
CARP,NFP,32,1,1.25,170.72,111.15,0.0007,0.1549,0.0226,0,0.9765,0.0674,230.04,3.3891,0
TILA,CFM,36,2,178.72,159.51,83.8,0.0032,0.169,0.2268,0.0063,0.8914,0.0213,245.57,-4.9425,0
TILA,CFM,45,2,177.59,146.34,92.98,0.0001,0.1551,0.0697,0.0036,0.9559,0.0226,243.63,13.7389,0
TILA,NFP,27,2,179.44,151.95,122.35,0.0012,0.2134,0.1106,0.0039,0.6633,0.0084,240.38,2.6908,0
TILA,PWM,27,2,1.6,148.58,108.36,0.0266,0.1312,0.0229,0.0001,1.0667,0.0123,239,-0.4171,0
TILA,PWM,33,2,2.53,163.59,137.25,0.0373,0.2796,0.0262,0.0007,0.9708,0.016,235.69,-0.9985,0
TILA,PWM,50,2,1.87,160.94,138.14,0.0757,0.2595,0.0097,0.001,1.0263,0.0104,241.08,-2.5102,0
TILA,PWM,58,2,0.8,153.41,145,0.0045,0.1878,0.1288,0.0054,0.7569,0.0215,228.58,-0.1802,0
TILA,PWM,61,2,1.55,159.93,142.24,0.0618,0.2268,0.0958,0.005,0.9597,0.0172,247.5,-2.3897,0
BANG,BWM,5,0,1.26,157.24,76.01,0.0199,0.2704,-0.0254,0,0.932,0.021,242.67,-8.9893,0
BANG,BWM,9,0,4,178.49,79.61,0.0569,0.1805,-0.0861,0,0.9586,0.0292,232.78,-10.555,0
BANG,CFM,42,0,178.25,151.41,65.12,0,0.1252,-0.032,0,0.8327,0.087,236.5,6.9256,0
BANG,CFM,49,0,179.18,189.06,61.97,0,0.0912,-0.0387,0,0.8584,0.0219,229.88,4.8301,0
BANG,CFM,61,0,0.79,176.56,63.07,0,0.138,-0.0718,0,0.9438,0.0018,232.29,-1.7338,0
BANG,NFP,12,0,1.71,154.4,80.7,0.0461,0.2663,-0.0566,0.0002,0.8869,0.1367,239.47,1.3121,0
BANG,NFP,14,0,3.08,143.31,91.72,0.1148,0.2631,0.0239,0,0.6651,0.0969,242.39,-4.4581,0
BANG,NFP,25,0,177.38,152.42,99.16,0.0015,0.2165,-0.0663,0.0015,0.8105,0.1672,237.86,0.8487,0
BANG,NFP,27,0,179.08,143,73.02,0.0621,0.1808,0.0223,0,0.6946,0.1088,234.89,1.2224,0
BANG,PWM,37,0,5.37,179.87,76.54,0.043,0.1547,0.0289,0,0.8938,0.0199,245.37,-10.5536,0
CARP,CFM,1,1,0.39,164.94,92.36,0.0004,0.1201,0.1723,0.0057,0.911,0.0814,230.95,0.4968,0
CARP,NFP,9,1,0.72,147.46,99.7,0.0134,0.3379,0.1743,0.0011,0.6889,0.0415,231.71,-1.7801,0
TILA,BWM,26,2,176.39,177.01,137.84,0.0021,0.1744,0.1888,0.0045,0.993,0.0486,223.27,-3.0588,0
TILA,CFM,19,2,179.48,150.05,102.5,0.0007,0.2108,0.1393,0.0001,1.0855,0.0252,234.58,4.5047,0
TILA,CFM,46,2,177.47,181.95,82.71,0,0.1585,0.1503,0.005,0.9873,0.0117,234.95,-5.5654,0
TILA,NFP,25,2,1.09,120.48,122.64,0.0304,0.2758,-0.0235,0.0011,0.6669,0.0124,239.94,2.7937,0
TILA,PWM,48,2,1.86,158.78,124.19,0.056,0.2026,0.0603,0.0013,1.019,0.0073,246.51,-2.9847,0
TILA,PWM,49,2,3.03,146.73,163.71,0.0034,0.1622,0.084,0.0012,0.6527,0.0169,221.22,-2.984,0
TILA,PWM,62,2,1.52,155.11,141.14,0.0586,0.2666,0.0682,0.0039,0.8185,0.0109,245.92,0.5459,0
BANG,BWM,1,0,4.97,180.28,88.26,0.0612,0.2379,0.0819,0,0.9035,0.0535,242.09,-10.5018,0
BANG,BWM,15,0,178.22,174.25,92.59,0.001,0.251,-0.022,0,0.9317,0.0816,235.17,0.1589,0
BANG,PWM,20,0,4.21,130.01,72.76,0.0394,0.2472,-0.0138,0,0.6646,0.1011,242.13,-0.9607,0
BANG,PWM,34,0,5.2,138.83,92.89,0.0175,0.199,0.0137,0,0.7101,0.1009,241.98,-1.4336,0
BANG,PWM,35,0,7.19,186.73,103.06,0.091,0.1491,-0.096,0,0.9579,0.0261,237.94,-9.1589,0
BANG,PWM,43,0,4.99,177.06,83.33,0.0903,0.2065,-0.0303,0,0.8024,0.0211,240.63,-4.9846,0
CARP,CFM,4,1,0.51,170.61,84.84,0.0001,0.129,0.1403,0.0001,0.9192,0.0372,237.87,6.22,0
CARP,NFP,14,1,2.81,147.8,119.3,0.0487,0.2895,0.1285,0.0001,0.7573,0.0678,232.5,0.4509,0
CARP,NFP,17,1,1.44,136.3,106.84,0.0181,0.3097,0.1502,0,0.8446,0.0765,231.42,-2.4571,0
CARP,NFP,21,1,1.99,148.54,93.93,0.0325,0.2617,0.141,0,0.8234,0.0748,231.93,1.5991,0
TILA,BWM,2,2,178.39,170.35,107.58,0.0002,0.1581,0.0944,0.0028,1.1566,0.008,229.79,-8.9177,0
TILA,BWM,12,2,178.44,145.32,96.02,0.0049,0.2248,0.1658,0.0056,0.8161,0.0623,225.26,-1.3835,0
TILA,CFM,4,2,0.85,179.71,100.75,0.0182,0.1938,0.0062,0,1.5445,0.0135,231.79,1.5945,0
TILA,CFM,50,2,178.63,165.75,83.9,0.0105,0.1554,0.1732,0.0063,0.9634,0.0113,240.73,-3.9286,0
TILA,PWM,64,2,2.24,153.28,137.44,0.0707,0.1944,0.1473,0.0048,0.9624,0.0309,231.62,-1.4921,0
BANG,BWM,13,0,177.62,207.63,87.72,0.0004,0.19,0.0482,0,0.9213,0.0282,233.12,-2.5836,1
BANG,PWM,33,0,4.21,143.18,90.64,0.0782,0.1473,0.0436,0,0.823,0.1091,240.42,-3.9026,1
BANG,PWM,44,0,4.41,166.06,77.32,0.0402,0.249,-0.0028,0,0.7211,0.0395,230.08,-6.3002,1
CARP,NFP,26,1,3.12,128.92,120.61,0.017,0.3204,0.0588,0,0.7785,0.0582,233.3,-1.8821,1
CARP,NFP,31,1,2.61,158.67,121.07,0.0739,0.2086,0.0808,0,0.9266,0.0812,232.09,2.796,1
TILA,BWM,5,2,1.93,152.51,138.78,0.0028,0.1246,0.0665,0.0009,1.2755,0.0062,238.28,-7.4695,1
TILA,BWM,29,2,176.19,171.16,144.23,0.0042,0.2013,0.0398,0,1.2396,0.0184,222.18,-2.234,1
TILA,CFM,5,2,178.15,169.03,73.75,0.0001,0.1386,0.2308,0.0062,1.0763,0.0207,242.66,-0.5587,1
TILA,CFM,42,2,176.55,149.23,102.68,0.0075,0.196,0.1041,0.0053,0.8599,0.0212,242.27,9.0372,1
TILA,PWM,7,2,5.28,161.25,71.71,0.0419,0.1588,0.1044,0.0014,0.5914,0.0105,232.17,1.2591,1
TILA,PWM,47,2,0.53,153.11,137.91,0.0129,0.1786,0.172,0.0055,0.8733,0.0096,243.5,-2.0551,1
BANG,BWM,14,0,1.77,146.12,116.8,0.0291,0.2958,-0.0045,0,0.7542,0.0917,235.01,1.1772,1
BANG,BWM,17,0,178.86,173.06,114.02,0.0025,0.3109,-0.0048,0,0.8785,0.0532,230.75,-0.7885,1
BANG,BWM,21,0,1.1,154.9,113.62,0.0375,0.2994,0.0159,0,0.7413,0.0801,233.07,1.6843,1
BANG,CFM,43,0,179.89,151.66,68.27,0.0254,0.1037,0.019,0,0.9803,0.078,240.4,3.7273,1
BANG,CFM,58,0,0.67,147.54,80.45,0.0232,0.1228,0.0131,0,0.7064,0.0476,226.05,0.1561,1
BANG,NFP,28,0,177.13,130.91,82.35,0.0005,0.1985,0.0409,0,0.6573,0.1144,235.71,2.2551,1
BANG,PWM,46,0,4.42,167.46,81.33,0.0479,0.1935,-0.0186,0,0.7605,0.0579,225.45,-4.1943,1
CARP,CFM,2,1,0.71,158.32,94.1,0.0017,0.1676,0.0995,0.0007,1.0237,0.0517,227.5,0.1366,1
CARP,CFM,5,1,3.79,193.8,125.1,0.0002,0.1042,0.0343,0.0002,0.8978,0.0424,223.58,7.4929,1
CARP,NFP,24,1,2.3,152.92,119.31,0.0145,0.2302,0.0393,0,0.9027,0.0304,231.04,-1.9913,1
CARP,NFP,34,1,1.23,139.34,81.89,0.0761,0.2548,0.0649,0,0.8657,0.0164,240.75,-1.8923,1
TILA,BWM,6,2,180,164.74,155.09,0.0014,0.1645,0.0722,0.0025,1.789,0.0104,236.84,-5.298,1
TILA,BWM,11,2,178.4,134.19,107.05,0,0.2908,0.077,0.0028,1.0352,0.0444,217.42,-2.3064,1
TILA,BWM,24,2,176.8,140.43,121.46,0.0012,0.1924,0.112,0.005,0.8094,0.0147,240.56,1.1032,1
TILA,CFM,11,2,179.25,149.62,102.57,0.01,0.2501,0.0935,0.0013,1.1762,0.0066,240.66,-3.6017,1
TILA,CFM,26,2,178.37,147.67,120.73,0.001,0.2205,0.1492,0.0021,1.0124,0.0089,242.66,-3.9693,1
TILA,CFM,28,2,176.3,167.3,114.06,0,0.1498,0.1442,0.0034,1.0005,0.0069,238.86,-3.6388,1
TILA,CFM,44,2,177.17,155.8,83.97,0.0078,0.1429,0.0887,0.003,1.2381,0.0198,241.09,10.5171,1
TILA,CFM,59,2,179.94,157.66,98.24,0.0007,0.2027,0.2327,0.0055,0.9619,0.0181,235.44,0.4439,1
TILA,NFP,2,2,1.89,139.38,117.04,0.0754,0.2425,0.0929,0.0028,0.7709,0.0129,240.95,3.7542,1
TILA,NFP,4,2,2.23,174.35,146.76,0.1064,0.2371,0.2035,0.003,0.8576,0.0061,229.6,-15.8254,1
TILA,NFP,10,2,178.13,133.27,110.81,0.0679,0.2489,0.1118,0.0006,1.1007,0.0044,244.88,-16.7829,1
TILA,PWM,37,2,1.28,147.76,142,0.0229,0.2635,0.1703,0.005,0.7706,0.0099,243.06,-3.0001,1
TILA,PWM,42,2,2.31,159.3,143.81,0.003,0.1894,0.1523,0.007,0.9086,0.0078,242.96,-2.7889,1
BANG,BWM,20,0,179.4,159.89,143.24,0.0014,0.3208,-0.043,0,0.8996,0.0538,229.33,-0.929,1
BANG,CFM,3,0,0.17,126.1,57.76,0,0.154,0.0193,0,0.8614,0.0582,237.02,-1.5876,1
BANG,CFM,7,0,5.07,158.73,83.32,0.0124,0.1655,0.0663,0,0.8832,0.0802,236.34,-5.8004,1
BANG,CFM,14,0,2.32,148.71,71.51,0.1087,0.3043,0.0957,0,0.8059,0.1771,237.06,0.8078,1
BANG,CFM,56,0,1.34,176.28,53.9,0,0.086,0.0307,0.0001,0.8027,0.0124,226.03,0.7255,1
BANG,CFM,63,0,178.23,158.79,80.43,0,0.0983,-0.0866,0,0.9138,0.0423,230.35,7.0283,1
BANG,CFM,64,0,0.09,153.9,85.09,0.0072,0.208,0.0744,0,0.8691,0.0289,243.64,5.6266,1
BANG,NFP,6,0,5.98,156.4,51.29,0.1777,0.2464,-0.0062,0,0.8477,0.1441,236.38,-5.5153,1
CARP,NFP,16,1,2.14,153.71,76.36,0.015,0.2529,0.2541,0.0018,0.6985,0.032,231.27,-1.1466,1
CARP,NFP,28,1,1.82,130.24,118.37,0.0343,0.2021,0.2028,0,0.7425,0.0479,238.06,3.0211,1
CARP,NFP,37,1,1.04,173.81,109.78,0.0002,0.1789,0.2363,0.0042,0.8997,0.0444,234.76,2.9108,1
CARP,PWM,4,1,4.9,173.32,69.85,0.0635,0.2112,0.0874,0,0.9001,0.065,231.15,2.5645,1
TILA,BWM,1,2,178.75,177.64,127.72,0.0022,0.2003,0.1868,0.0041,1.2968,0.0059,240.62,-6.964,1
TILA,BWM,7,2,179.25,159.79,136.75,0.0258,0.1819,0.1131,0.0006,1.7118,0.019,232.5,-3.5052,1
TILA,BWM,14,2,179.2,153.11,72.98,0.0082,0.2044,0.2444,0.0078,1.0364,0.0441,227.81,-2.0619,1
TILA,CFM,3,2,1.24,182.52,90.97,0.0875,0.2133,0.2414,0.0016,1.0523,0.0139,234.06,-0.8212,1
TILA,CFM,8,2,178.86,171.83,70.25,0.0001,0.1576,0.2892,0.0081,0.9968,0.0149,244.15,-3.0356,1
TILA,CFM,10,2,177.28,150.55,96.44,0.0045,0.185,0.1027,0.0015,1.081,0.004,242.51,-0.5814,1
TILA,CFM,22,2,177.26,135.3,120.64,0.0052,0.1891,0.003,0,1.1939,0.0166,232.45,8.3372,1
TILA,CFM,60,2,177.04,156.39,121.54,0.0003,0.1736,0.2803,0.0016,0.9567,0.0268,229.45,1.3743,1
TILA,NFP,11,2,0.38,149.42,112.1,0.0428,0.3208,0.2365,0.002,0.7526,0.0037,229.15,-18.0075,1
TILA,NFP,20,2,5.98,147.83,115.44,0.1751,0.3637,0.0353,0,0.7133,0.0213,243.36,3.916,1
TILA,PWM,36,2,2.11,185.59,72.56,0.0183,0.2023,0.1962,0.0067,1.1136,0.0155,234.98,-1.6765,1
TILA,PWM,40,2,1.86,140.35,160.53,0.0046,0.1658,0.1621,0.0064,0.8881,0.014,240.14,-3.3079,1
TILA,PWM,41,2,2.31,163.71,141.34,0.0681,0.221,0.163,0.0071,0.7134,0.0067,240.41,-0.5521,1
TILA,PWM,59,2,2.1,141.28,154.43,0.0442,0.2427,0.0916,0.0045,1.0261,0.012,244.8,-2.8594,1
TILA,PWM,60,2,0.55,149.62,135.88,0.0032,0.3139,0.1162,0.006,1.0586,0.0148,238.53,-2.3482,1
BANG,CFM,26,0,175.7,145.58,114.78,0.0006,0.1864,0.0169,0,0.9435,0.0697,238.62,-4.2991,1
BANG,CFM,27,0,179.77,134.43,111.6,0.0097,0.2426,0.0178,0,0.9757,0.0653,236.91,-5.1503,1
BANG,CFM,45,0,179.14,132.88,64.17,0,0.1321,0.0226,0,0.9378,0.0914,237.24,7.0846,1
BANG,CFM,65,0,0.18,115.56,99.69,0,0.2524,-0.033,0.0001,0.7967,0.0435,241.95,5.7069,1
BANG,PWM,9,0,5.68,117.48,108.09,0.0637,0.2453,0.0327,0,0.6761,0.1139,242.96,-0.9584,1
BANG,PWM,18,0,6.66,147.35,89.23,0.1851,0.2298,-0.0765,0,0.817,0.1189,242.4,-1.4799,1
BANG,PWM,25,0,6.63,182.42,83.85,0.0671,0.0842,0.1172,0,0.8587,0.0378,241.7,-6.0846,1
BANG,PWM,36,0,6.91,188.69,105.44,0.1278,0.1958,-0.0313,0,1.0246,0.0144,239.97,-10.9905,1
CARP,NFP,10,1,2.12,161.32,138.86,0.0541,0.3089,0.2782,0.0073,0.75,0.069,230.05,-1.8118,1
CARP,NFP,19,1,1.41,131.58,93.62,0.0195,0.2522,0.0282,0.0002,0.9266,0.0399,232.73,-0.1319,1
CARP,NFP,25,1,3.34,147.39,125.76,0.0757,0.2796,0.0952,0,0.7936,0.0437,231.73,-0.4038,1
CARP,PWM,8,1,7.93,182.55,106.49,0.0404,0.1611,0.1286,0.0024,0.917,0.076,235.26,2.9185,1
TILA,BWM,15,2,179.68,154.71,92.44,0.0193,0.2253,0.1416,0.0054,1.0772,0.0205,221.41,-2.2476,1
TILA,CFM,18,2,178.77,149.88,104.54,0.0169,0.1898,0.1999,0.0065,0.8479,0.011,243.07,2.5049,1
TILA,CFM,39,2,177.75,161.94,105.89,0.0005,0.1634,0.3269,0.0084,0.9834,0.0147,248.32,-8.099,1
TILA,CFM,57,2,177.62,153.59,66.58,0.021,0.1757,0.2919,0.0116,0.7567,0.0298,244.38,14.035,1
TILA,NFP,21,2,3.08,165.83,127.96,0.1399,0.2991,0.2085,0.0034,0.72,0.0166,241.56,3.4805,1
TILA,NFP,22,2,174.02,139.93,84.21,0.0001,0.2421,-0.0203,0.0009,0.8569,0.0062,240.16,3.7949,1
TILA,PWM,16,2,6,191.15,111.93,0.0557,0.148,0.0433,0,1.396,0.0087,232.14,-1.2477,1
TILA,PWM,54,2,1.79,161.56,145.38,0.1424,0.3,0.0824,0.004,0.9756,0.0199,232.03,-0.2966,1
BANG,CFM,20,0,179.45,168.82,80.25,0.0016,0.1706,0.0687,0.0001,0.9011,0.0283,231.04,1.3652,1
BANG,CFM,40,0,178.33,157.52,67.13,0,0.1375,-0.0068,0,0.9359,0.0201,234.62,2.2976,1
BANG,CFM,51,0,5.1,166.96,87.95,0.0082,0.1462,0.0128,0,0.9579,0.0013,237.48,-5.3939,1
BANG,CFM,55,0,179.53,163.36,67.36,0.0002,0.1108,0.0251,0.0004,0.9737,0.008,230.64,-4.0255,1
BANG,CFM,59,0,1.92,170.6,77.8,0.0786,0.2097,0.005,0,0.7992,0.0187,231.6,1.1714,1
BANG,CFM,60,0,179.99,171.31,44.35,0,0.1173,0.0061,0,0.8943,0.0116,219.71,3.2593,1
BANG,CFM,62,0,177.49,139.34,81.05,0,0.1562,-0.0315,0,0.9497,0.0599,239,3.3211,1
BANG,NFP,5,0,6.82,156.79,59.51,0.089,0.2392,0.0323,0,0.8702,0.1375,237.32,-1.9232,1
BANG,PWM,58,0,3.53,160.46,103.77,0.0903,0.2333,-0.0248,0,0.7906,0.0315,227.48,-4.2229,1
BANG,PWM,59,0,5.57,174.65,94.45,0.2179,0.2396,-0.0543,0,0.7821,0.0692,232.63,-2.5354,1
CARP,NFP,23,1,4.14,167.41,120.33,0.1961,0.2882,0.089,0,0.8271,0.0085,245.32,0.6364,1
TILA,BWM,10,2,0.3,151.35,106.11,0,0.2039,0.0092,0.0023,1.4691,0.0076,226.46,-5.931,1
TILA,CFM,29,2,179.61,149.56,122.64,0.0179,0.2545,0.0635,0.0001,1.6534,0.016,234.24,-0.5178,1
TILA,CFM,58,2,177.15,160.31,102.7,0.009,0.243,0.2034,0.0062,0.7601,0.0134,233.89,2.608,1
TILA,NFP,8,2,179.49,138.67,97.77,0.0747,0.2721,0.2558,0.0043,0.9392,0.0038,246.34,-16.5488,1
TILA,PWM,5,2,6.29,161.43,103.45,0.2083,0.1641,0.0269,0,1.0957,0.0118,235.82,-3.6588,1
TILA,PWM,30,2,6.38,166.68,74.32,0.1113,0.1784,0.0697,0.0005,1.0543,0.0129,233.38,-0.7627,1
TILA,PWM,32,2,6.73,180.28,107.53,0.0421,0.1663,0.0176,0,1.2536,0.0052,230.76,-1.5407,1
TILA,PWM,56,2,3.74,164.33,140.84,0.1487,0.2959,0.1694,0.0064,0.6342,0.0144,239.14,-0.5426,1
